post_id	make	model	year	odometer	vin	title_status	cylinders	crumb_area	crumb_subarea	price
6882126654					2X87TAL145166	clean	8 cylinders	atlanta	otp north	37500
6882473626						clean		atlanta	atlanta	3500
6882521292			2007	150000		clean	4 cylinders	atlanta	otp north	3499
6882159488				85000		missing	8 cylinders	atlanta	otp south	3000
6882123980			2007	132000		clean	6 cylinders	atlanta	otp east	6000
6882007315			1994	146768		clean	6 cylinders	atlanta	otp north	14000
6882650153			2007	238500	2FZHCMCV87AZ31551	clean	6 cylinders	atlanta	atlanta	24900
6882320256			2006	123617	5teku72n36z282822	clean	6 cylinders	atlanta	atlanta	16500
6882381936						clean	8 cylinders	atlanta	atlanta	18000
6882428322	subaru	sti		40010		clean	4 cylinders	atlanta	otp south	33000
6882001702						clean	6 cylinders	missoula		2500
6882115598	subaru			190000		clean	4 cylinders	missoula		5000
6881981360			2005	155000		salvage	6 cylinders	missoula		1500
6882108122			2000	142728		clean	4 cylinders	missoula		4500
6882970160			2009	338200	1FVACWBS39HAL8051	clean	6 cylinders	atlanta	atlanta	15900
6883466025			2006			clean		atlanta	atlanta	35000
6883156200						clean	8 cylinders	atlanta	atlanta	23000
6882936456			2003	66003	1FTRW07LX3KA30041	clean	8 cylinders	atlanta	atlanta	8950
6882721147			1995			clean	4 cylinders	atlanta	atlanta	6050
6882685915			2012			clean	6 cylinders	atlanta	otp north	16500
6883419256			2007	159000	SALSF25407A118593	clean	8 cylinders	atlanta	atlanta	6900
6883096041			1999			clean		atlanta	atlanta	13500
6882763622			2008	258000		clean		atlanta	otp north	3500
