post_id	listing_name	make	model	year	odometer	vin	condition	title_status	cylinders	crumb_area	crumb_subarea	price
6618174302		subaru	outback	2007	162000		excellent	clean	4 cylinders	atlanta	otp north	5500
6618858791		subaru	outback-xt	2007	136000		good	clean	4 cylinders	missoula		4000
6618185550					222000		fair	clean	4 cylinders	missoula		800
6617852335		subaru	outback	2012			excellent	rebuilt	4 cylinders	missoula		11300
6623735043		subaru		2005			like new	clean	4 cylinders	missoula		30000
6622428415		subaru	outback	1996				clean		missoula		Bonner)
6614593638		subaru	loyale	1993	243675			clean		missoula		1000
6621110518		subaru	outback	2003				clean		missoula		1100
6620753492		subaru	outback	2009				clean	4 cylinders	missoula		9500
6623228213		subaru	forester	2002	208387		good	clean		missoula		2500
6615338948		subaru	forester	2001				clean		missoula		1
6618168066		subaru	legacy	2015	64000		like new	clean	6 cylinders	missoula		17750
6618695376		subaru	legacy	1997	140000		salvage	clean	4 cylinders	missoula		500
6613267291		subaru	impreza	2011	65223		excellent	clean	4 cylinders	missoula		11995
6622697067		subaru		2011	37000	JS2RF9A61B6110168	excellent	rebuilt	4 cylinders	minneapolis	hennepin co	8300
6621894332		subaru	legacy	2009	166200		fair	clean	4 cylinders	minneapolis	washington/WI	1500
6622428200		subaru	impreza	2009	74600		excellent	clean	4 cylinders	minneapolis	hennepin co	7500
6623147296		subaru	wrx	2002			good	clean	4 cylinders	minneapolis	hennepin co	7500
6619274848		subaru	outback	2002	229000		good	clean	4 cylinders	minneapolis	washington/WI	2500
6623019799		subaru	legacy	2007	169000		good	rebuilt	4 cylinders	minneapolis	ramsey co	3900
6621301597		subaru	baja-outback	2003	176000	4S4BT61C836102915	good	clean	4 cylinders	minneapolis	ramsey co	5200
6623968705		subaru	baja	2003	289000		good	clean	4 cylinders	minneapolis	hennepin co	2100
6624314341		subaru		2004	164891		excellent	clean	4 cylinders	atlanta	otp east	3600
6624314841		subaru		2004	164891		excellent	clean	4 cylinders	atlanta	otp east	3600
6611840758		subaru		2007	125000	Jf1sg63636h729939	good	clean	4 cylinders	atlanta	atlanta	2999
6624133192		subaru	impreza	2009			excellent	clean		atlanta	atlanta	7900
6621671039		subaru	forester	2009	172000	JF2SH63619H749460	excellent	clean	4 cylinders	atlanta	atlanta	5700
6620725183		subaru	brz	2016	016200		like new	clean	4 cylinders	atlanta	atlanta	18500
6616226959		subaru		2002				clean		atlanta	atlanta	3500
6623808538		subaru	legacy	2003		4S3BE635037210792		clean		atlanta	otp east	2500
6623458602		subaru	forester	2005	192000		fair	clean	4 cylinders	minneapolis	washington/WI	900
6619583156		subaru	brz	2013	70000		excellent	clean	4 cylinders	minneapolis	anok/chis/isa	15495
6621561863		subaru	forester-xt					clean		minneapolis	hennepin co	1
6621156660		subaru	outback	2002	187000			clean		minneapolis	carv/sher/wri	450
6623303449		subaru	wrx	2003	96000		excellent	clean		minneapolis	hennepin co	9500
6624505496		subaru	impreza	2005	134000		good	clean	4 cylinders	minneapolis	washington/WI	4500
6624467229		subaru	outback	2005	101363	4S4BL84C354214401	excellent	clean	6 cylinders	minneapolis	ramsey co	6500
6623448123		subaru	wrx	2008	123000		good	clean	4 cylinders	minneapolis	hennepin co	7000
6623348875		subaru	forester	2010	96400			clean	4 cylinders	minneapolis	anok/chis/isa	8900
6623348455		subaru	outback	2001	210000		salvage	salvage	6 cylinders	minneapolis	hennepin co	800
6623917382		subaru	impreza	2006	161000		excellent	clean	4 cylinders	minneapolis	dakota/scott	4700
6624916505		subaru	forester	2001	257			clean	4 cylinders	minneapolis	hennepin co	1250
6625173113		subaru	outback	2011				clean		minneapolis	carv/sher/wri	12500
6623420418		subaru	legacy	2011	110000		excellent	clean		minneapolis	ramsey co	8500
6624556179		subaru	legacy	2002	225000		like new	clean	4 cylinders	minneapolis	ramsey co	2350
6625118757		subaru	sti-wrx	2008	80000		excellent	lien	4 cylinders	minneapolis	hennepin co	22000
6624309252		subaru	forester-xt	2005	170000		excellent	clean	4 cylinders	minneapolis	hennepin co	6500
6625099479		subaru	legacy	2012	75000		good	clean	4 cylinders	minneapolis	hennepin co	11300
6622368990		subaru	sti-wrx	2015	50000	JF1VA2U69F9811254	excellent	clean	4 cylinders	minneapolis	hennepin co	25000
6625141854		subaru	forester	2004	147000		excellent	clean		atlanta	otp north	3900
6622541413		subaru	outback	2011	136	4S4BRCGC2B3401725	good	clean	4 cylinders	atlanta	atlanta	8500
6617048382		subaru	forester	2002	109500		excellent	rebuilt		atlanta	otp east	4500
6606990964		subaru						clean		atlanta	otp north	4478
6624384479		subaru	impreza	2012	138000			rebuilt		minneapolis	washington/WI	7750
6624618014		subaru	impreza-outback	2000	225000			clean	4 cylinders	atlanta	otp west	2100
6623452572		subaru	legacy	2006	84000			clean	4 cylinders	atlanta	otp west	4000
6625183128		subaru	legacy	2002	221449		good	clean	4 cylinders	atlanta	otp east	1650
6623786351		subaru	forester	2014	54279		excellent	clean	4 cylinders	minneapolis	hennepin co	16400
6624711944		subaru	impreza-wrx	2002	146048		good	clean	4 cylinders	minneapolis	hennepin co	5400
6625099919								clean		minneapolis	anok/chis/isa	7000
6625268409		subaru	legacy	2003	244640		fair	clean		minneapolis	dakota/scott	500
6624286513		subaru	outback	2006	92298			clean		minneapolis	hennepin co	7500
6625602789				2004	130000			clean		minneapolis	hennepin co	3750
6624992003		subaru	legacy	2003	134572	4S3BH635436300282	fair	clean	4 cylinders	minneapolis	hennepin co	2200
6624995337		subaru	impreza-wrx	2008			good	rebuilt	4 cylinders	minneapolis	dakota/scott	7900
6625159884		subaru		2009	93000			salvage		minneapolis	hennepin co	11000
6621965276		subaru	impreza-wrx	2004				clean		minneapolis	ramsey co	9000
6625877673		subaru	impreza	2008				clean		minneapolis	hennepin co	7500
6624348971		subaru	forester	2010	96400			clean	4 cylinders	minneapolis	anok/chis/isa	8900
6625693517				2007			good	rebuilt		atlanta	atlanta	4700
6624626477		subaru	legacy	2007				clean		atlanta	otp north	3200
6625458178				2001	250000			clean		atlanta	otp east	1200
6624927494		subaru	impreza-sti-wrx	2006	1		excellent	clean	4 cylinders	atlanta	otp east	8500
6625218623		subaru	outback	2002				clean	6 cylinders	missoula		4700
6625285517		subaru	outback		212500		excellent	clean	6 cylinders	missoula		3100
6623929010		subaru	impreza		150000			clean		missoula		5000
6625618374		subaru	outback	2013	69410		excellent	clean		missoula		16500
6620778693		subaru	outback	2016	40000		excellent	rebuilt	4 cylinders	missoula		19200
